# synset_id	definitions
00001740-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
00348252-v	처음으로 하거나 쉬었다가 다시 함.
00348312-n	엎어 넘어뜨림.
00348541-v	마음과 힘을 떨쳐 일으킴.
00348746-v	처음으로 하거나 쉬었다가 다시 함.
00349080-n	일어섬.
00350030-n	빙빙 돌아서 구름.
00350380-n	빙빙 돌아서 구름.
00351000-n	빙빙 돌아서 구름.
00352861-n
00353782-n	적어짐.
00354884-n
00356367-n	써서 없앰.
00358290-n	때리어 부수거나 헐어 버림.
00359492-n	끊어 냄.
00359822-n	머리털을 빗거나 깎아 매만짐.
00360485-n	줄거나 오그라짐.	적어짐.
00360932-v	태어남.
00362659-n	몹시 묽게 섞어 타거나 풂.
00363260-n	더하여 많아짐.
00363788-n	나중에 더 보탬.
00364260-n	끌어 올림.
00364600-n	끌어내림.
00364787-n	더하여 많아짐.
00365231-n	더하여 많아짐.
00365329-n	더하여 많아짐.
00365709-n	늘이어서 크게 함.
00365810-v	열을 더하면 고체가 직접 기체로 되는 일. 장뇌, 요오드, 드라이아이스 따위는 보통 온도에서 기체로 된다.
00365995-n	늘이어서 크게 함.
00366020-v	열을 더하면 고체가 직접 기체로 되는 일. 장뇌, 요오드, 드라이아이스 따위는 보통 온도에서 기체로 된다.
00366317-n	부풀어서 띵띵하여짐.
00366521-n	늘이어서 크게 함.
00366846-n	더하여 많아짐.
00367280-n	늘이어서 크게 함.
00367427-n	늘이어서 크게 함.
00367768-n	늘이어서 크게 함.
00367976-n
00369532-n
00371314-n	더하여 많아짐.
00371487-n
00371735-n	글의 뜻을 풀이함.
00372226-n
00372607-n	쌓아서 간직하여 둠
00372977-n	쌓아서 간직하여 둠
00373130-n	어떤 사물 속에 함께 들어 있거나 함께 넣음.
00373544-n	늘이어서 크게 함.
00374224-n	더하여 많아짐.
00374677-n	더하여 많아짐.
00374835-n
00375071-n	진하게 졸임.
00376400-n	때리어 부수거나 헐어 버림.
00376715-n	때리어 부수거나 헐어 버림.
00376825-n	때리어 부수거나 헐어 버림.
00376994-n	때리어 부수거나 헐어 버림.
00377002-v	불에 탐.
00377351-v	불에 탐.
00378042-v	불에 탐.
00378361-v
00378479-n	불이 일어나거나 타기 시작함.
00378985-n	여럿을 모아 합하여 한 덩이게 되게 함.
00379422-n	붙이거나 닮.
00380083-n	이리저리 뒤섞여서 엇걸림.
00380159-v	서로 주고받음.
00380568-n	여럿을 모아 합하여 한 덩이게 되게 함.
00380696-n	뒤섞음.	이리저리 뒤섞여서 엇걸림.
00380881-n	뒤섞음.	이리저리 뒤섞여서 엇걸림.
00381680-n	나누어진 것들을 합쳐서 하나로 만듦.	여러 가지를 한데 모아 합함 + 나뉘거나 흩어져 있는 것들을 한 곳에 합치다
00382109-n	나누어진 것들을 합쳐서 하나로 만듦.	여러 가지를 한데 모아 합함 + 나뉘거나 흩어져 있는 것들을 한 곳에 합치다
00383606-n	서로 나뉘어서 떨어지거나 떨어지게 함.	n(한곳에 모였던 것이 다 각각 떨어지거나 따로따로 헤지다)
00384802-n	서로 나뉘어서 떨어지거나 떨어지게 함.	n(한곳에 모였던 것이 다 각각 떨어지거나 따로따로 헤지다)
00384933-n	관계하고 있던 단체에서 관계를 끊고 빠져 물러남.
00385266-n	관계하고 있던 단체에서 관계를 끊고 빠져 물러남.
00385501-n	서로 나뉘어서 떨어지거나 떨어지게 함.	n(한곳에 모였던 것이 다 각각 떨어지거나 따로따로 헤지다)
00385649-n	길이나 도선 따위를 막거나 끊어서 통하지 못하게 함.
00385791-n	서로 나뉘어서 떨어지거나 떨어지게 함.	n(한곳에 모였던 것이 다 각각 떨어지거나 따로따로 헤지다)
00386345-n
00386450-n
00386676-n
00386915-n
00387214-n
00387310-v	본디 상태나 자리로 다시 돌아감.
00387326-n
00388210-n
00388392-n
00388710-n
00388959-n
00389135-n
00389508-n
