# synset_id	pos	english_lemmas	korean_lemmas
00209943-n	Noun	termination, conclusion, ending	마감, 종국, 종결, 결말, 종료, 종지, 완료, 완결, 만료, 귀착, 끝, 귀결
00210518-n	Noun	finish, finishing	마감, 끝내, 종료, 완료, 완결, 끝
00210797-n	Noun	finale, close, closing_curtain, finis	종국, 종결
00210940-n	Noun	tone_ending, release	해제
00211110-n	Noun	completion, culmination, mop_up, closing, windup	마감, 폐장, 종결, 결말, 종료, 준공, 완료, 완결
00211462-n	Noun	finalization, finalisation	완결
00212065-n	Noun	graduation	졸업
00213052-n	Noun	cession, ceding	양도, 양여
00213343-n	Noun	surrender	양여
00213694-n	Noun	release, waiver, discharge	해제
00213903-n	Noun	granting_immunity, immunity, exemption	제외, 면제, 면역
00214148-n	Noun	fix	고치
00215314-n	Noun	dissolution, breakup	해제
00216038-n	Noun	dissolution, adjournment	해제, 폐회
00216174-n	Noun	release, liberation, firing, sack, dismission, discharge, sacking, dismissal	해제, 해임, 해고, 해직, 파면, 해면, 면직, 파직
00216607-n	Noun	conge, congee	면직
00216723-n	Noun	removal	해제
00217014-n	Noun	devastation, destruction	사멸, 멸망, 파멸
00217773-n	Noun	wrecking, laying_waste, ruin, ruining, ruination	망치, 멸망, 패망, 파멸
00218208-n	Noun	annihilation, obliteration	사멸, 섬멸, 소멸, 전멸
00218330-v	Verb	sear, parch	태우
00218475-v	Verb	dry, dry_out	말리, 건조하, 마르
00218753-n	Noun	pulverisation, pulverization	분쇄
00219403-v	Verb	dry, dry_out	말리, 건조하, 마르
00220023-n	Noun	homicide	살인, 타살
00220409-n	Noun	manslaughter	살인
00220522-n	Noun	execution, slaying, murder	학살, 살해, 실행, 타살, 살인
00221056-n	Noun	assassination	암살
00221178-n	Noun	bloodshed, gore	살상
00222485-n	Noun	suicide, self-destruction, self-annihilation	자결, 자해, 자인, 자살
00222766-n	Noun	self-destruction	자멸
00223268-n	Noun	felo-de-se	자살
00223362-n	Noun	harakiri, seppuku, hara-kiri, harikari	자살
00223983-n	Noun	butchery, massacre, carnage, mass_murder, slaughter	학살, 살육, 도륙, 몰살
