# synset_id	lemma	example
00376400-n	타파	봉건 인습의 ～. 악법의 ～. 허례허식의 ～.
00376400-n	손상	～을 입다. ～을 받았다.
00376400-n	분쇄	무력 도발의 ～.
00376825-n	분쇄	무력 도발의 ～.
00379422-n	부착	이름표 ～.
00380159-v	바꾸다	헌 옷과 새 옷을 바꾼다. 쌀을 보리와 바꿨다. 책을 딴걸로 바꿔 주시오. 언니와 아우는 모자를 바꿔 썼다.
00380696-n	섞다	영어까지 가끔 섞어서 이야기하며 퍽 유식한 체 하였다.
00380696-n	섞다	쌀에 보리를 섞어 밥을 지었다.
00381680-n	통일	이념의 ～. 체제의 ～. 행동의 ～.
00381680-n	통일	복장의 ～. 의견의 ～.
00381680-n	통일	겨레의 ～이 이루어질때까지. 국토의 ～이 반드시 올 것이다. 민족의 ～을 꾀한다.
00382109-n	통일	이념의 ～. 체제의 ～. 행동의 ～.
00382109-n	통일	복장의 ～. 의견의 ～.
00382109-n	통일	겨레의 ～이 이루어질때까지. 국토의 ～이 반드시 올 것이다. 민족의 ～을 꾀한다.
00384933-n	이탈	부대 ～.
00385266-n	이탈	부대 ～.
00385791-n	분할	토지 ～. ～ 측량.
00386345-n	분할	토지 ～. ～ 측량.
00386676-n	분할	토지 ～. ～ 측량.
00387310-v	되돌아가다	어린 시절로 되돌아가고 싶다.
00387326-n	분할	토지 ～. ～ 측량.
00388210-n	분단	국토 ～.
00388210-n	분할	토지 ～. ～ 측량.
00389508-n	분할	토지 ～. ～ 측량.
00391086-n	찢다	적막을 찢는 비명이 들렸다. 가슴을 찢는 듯한 아픔.
00391086-n	찢다	종이를 ～. 손수건을 찢어 상처를 동이었다.
00391407-n	분할	토지 ～. ～ 측량.
00391599-n	제거	불순물 ～. 위험성 ～.
00392950-n	제거	불순물 ～. 위험성 ～.
00394610-n	제거	불순물 ～. 위험성 ～.
00395199-n	제거	불순물 ～. 위험성 ～.
00395333-n	도태	～가 일어나다. ～현상.
00395333-n	제거	불순물 ～. 위험성 ～.
00395503-n	제거	불순물 ～. 위험성 ～.
00395503-n	도태	～가 일어나다. ～현상.
00397760-n	말살	일제의 국어 ～ 정책.
00397760-n	제거	불순물 ～. 위험성 ～.
00397760-n	말소	등기 ～. 호적 ～.
00397953-n	분할	토지 ～. ～ 측량.
00397953-n	분단	국토 ～.
00409211-n	조작	고속도로 위에서의 핸들 ～은 아주 조금씩 조심스럽게 해야 한다.
00411384-n	공동	～ 과제. ～관리. ～ 사업. ～ 상속인. ～ 자본. ～ 책임. ～ 출자. ～ 투자.
00414179-n	버릇	～을 고치다. ～을 떼다. 술 마시고 떠드는 ～은 나쁘다.
00414179-n	버릇	잘 때 코를 고는 ～. 그는 일에 열중할 땐 한동안 눈을 감는 ～이 있다.
00414790-n	의식	～의 세계.
00415226-n	투	한문 ～로 쓰인 글. 기행문 ～로 쓴 소설. 자기 ～로 일을 한다.
00415226-n	투	말하는 ～가 귀에 거슬린다. 서둘러 대는 ～가 예사롭지 않다. 달래는 ～로 타일렀다.
00420477-n	박해	당시 일제의 ～가 극에 달했었다. ～를 무릅쓰고 신도는 더욱 늘었다.
00420477-n	핍박	어떠한 ～에도 굴복하지 말고 뜻을 밀고 나가라.
00421047-n	박해	당시 일제의 ～가 극에 달했었다. ～를 무릅쓰고 신도는 더욱 늘었다.
00425071-v	나타나다	수평선 저쪽에 배가 나타났다. 기다리던 사람이 나타났다.
00425071-v	나타나다	물고기는 수억 년 전에 지구에 나타났다.
00425071-v	나타나다	얼굴에 기쁜 표정이 나타났다. 암의 증상이 나타난다.
00429060-v	자르다	허리를 잘쑥 자른 여인의 옷맵시.
00429968-v	자르다	허리를 잘쑥 자른 여인의 옷맵시.
00430140-n	하다	공부를 ～. 일을 ～. 말을 ～. 생각을 ～. 세수를 ～.
00430140-n	노름	화투 ～. 술 ～.
00430140-n	장난	～이 지나쳐서 싸움이 되었다.
00431893-n	하다	공부를 ～. 일을 ～. 말을 ～. 생각을 ～. 세수를 ～.
00440039-n	달리기	～ 선수.
00445802-n	권투	～ 선수. ～ 경기.
00449295-n	경마	～ 대회.
00449295-n	달리기	～ 선수.
00450070-n	경마	～ 대회.
00453126-n	달리기	～ 선수.
00453731-n	농	～기구. ～기계. ～화학. / 소작～. 자작～.
00453731-n	농사	～를 짓다.
00453935-n	낚시	～를 갔다.
00454237-n	낚시	～를 갔다.
00457382-n	하다	공부를 ～. 일을 ～. 말을 ～. 생각을 ～. 세수를 ～.
00457723-n	공격	～ 명령. ～ 부대. ～ 작전. ～을 가하다. ～을 받다.
00480211-n	배구	～를 잘 하다. 적절한 ～.
00499924-n	당구	～를 친다.
00504325-n	바둑	～을 둔다. ～의 수. ～에도 도가 있다.
00507673-n	노름	화투 ～. 술 ～.
00511817-n	하다	공부를 ～. 일을 ～. 말을 ～. 생각을 ～. 세수를 ～.
00512522-n	불장난	～을 일삼는 제국주의자.
00517728-n	잔치	생일 ～. 혼인 ～. 회갑 ～.
00520257-n	행세	손님이 주인 ～를 한다.
00555138-n	운신	～도 못 할 좁은 방.
00562280-n	저해	건강의 ～요인. 발전의 ～요인.
00562280-n	방해	공부 ～. 안면 ～.
00562398-n	막다	싸움을 ～. 말을 ～. 고집을 ～.
00562643-n	방해	공부 ～. 안면 ～.
00562935-n	저해	건강의 ～요인. 발전의 ～요인.
00565302-n	타격	～ 연습. ～ 자세.
00566298-n	대신	절망하는 ～에 새로운 각오를 가졌다.
00566298-n	대신	꿩 ～으로 닭을 잡는다. 대답 ～에 웃음을 짓는다.
00568430-n	의식	～의 세계.
00575741-n	소위	지금 너의 ～가 너무 야박하지 않느냐? 그 놈들의 ～인 줄 알았다.
00575741-n	일하다	일하기 좋아하는 사람. 일할 자리.
00578708-n	빨래	요즘은 기계가 ～를 한다.
