# synset_id	(argument	case_particle)*	lemma
00348252-v	07989373-n	이/가	15138401-n	에	들어가다
00348252-v	07217924-n	이/가	09316454-n	에	들어가다
00348252-v	08208560-n	이/가	08307589-n	에	들어가다
00348252-v	10769607-n	이/가	00632201-n	에	들어가다
00348252-v	08208560-n	이/가	15138401-n	에	들어가다
00348252-v	07989373-n	이/가	00657604-n	에	들어가다
00348252-v	08208560-n	이/가	05785885-n	에	들어가다
00348252-v	10769607-n	이/가	08435388-n	에	들어가다
00348252-v	08208560-n	이/가	00606093-v	에	들어가다
00348252-v	10769607-n	이/가	00606093-v	에	들어가다
00348252-v	10769607-n	이/가	15138401-n	에	들어가다
00348252-v	07989373-n	이/가	00838367-n	에	들어가다
00348252-v	10769607-n	이/가	07142566-n	에	들어가다
00348252-v	10769607-n	이/가	00913705-n	에	들어가다
00348252-v	10769607-n	이/가	07199565-n	에	들어가다
00348252-v	10769607-n	이/가	00030358-n	에	들어가다
00348252-v	10769607-n	이/가	00657604-n	에	들어가다
00348252-v	10769607-n	이/가	02419773-v	에	들어가다
00348252-v	08208560-n	이/가	02419773-v	에	들어가다
00348252-v	08208560-n	이/가	08435388-n	에	들어가다
00348252-v	08208560-n	이/가	07199565-n	에	들어가다
00348252-v	08208560-n	이/가	00894552-n	에	들어가다
00348252-v	07989373-n	이/가	00620752-n	에	들어가다
00348252-v	10769607-n	이/가	01621555-v	에	들어가다
00348252-v	07989373-n	이/가	01054545-n	에	들어가다
00348252-v	11449907-n	이/가	09316454-n	에	들어가다
00348252-v	07989373-n	이/가	07199565-n	에	들어가다
00348252-v	07989373-n	이/가	02649830-v	에	들어가다
00348252-v	10769607-n	이/가	08307589-n	에	들어가다
00348252-v	10769607-n	이/가	00894552-n	에	들어가다
00348252-v	07989373-n	이/가	02654416-v	에	들어가다
00349080-n	00007846-n	이/가	서다
00358290-n	00007846-n	이/가	04161981-n	을	밀다
00358290-n	00007846-n	이/가	03427296-n	을	밀다
00358290-n	00007846-n	이/가	05548840-n	을	밀다
00358290-n	00007846-n	이/가	05557500-n	을	밀다
00358290-n	00007846-n	이/가	03001627-n	을	밀다
00358290-n	00007846-n	이/가	02883344-n	을	밀다
00358290-n	00007846-n	이/가	00007846-n	을/를	밀다
00358290-n	00007846-n	이/가	03221720-n	을	밀다
00358290-n	00007846-n	이/가	05558717-n	을	밀다
00425071-v	03315023-n	이/가	나타나다
00425071-v	04928903-n	이/가	나타나다
00425071-v	13984944-n	이/가	나타나다
00425071-v	00004258-n	이/가	나타나다
00425071-v	04931733-n	이/가	나타나다
00425071-v	00007846-n	이/가	나타나다
00425071-v	13939353-n	이/가	나타나다
00425071-v	03636248-n	이/가	나타나다
00425071-v	05660268-n	이/가	나타나다
00425071-v	11473954-n	이/가	나타나다
00425071-v	09239740-n	이/가	나타나다
00425071-v	03636649-n	이/가	나타나다
00425071-v	00987345-v	이/가	나타나다
00425071-v	04726724-n	이/가	나타나다
00425071-v	07213717-n	이/가	나타나다
00425071-v	13077033-n	이/가	나타나다
00425071-v	01061481-v	이/가	나타나다
00425071-v	13795489-n	이/가	나타나다
00425071-v	14070360-n	이/가	나타나다
00425071-v	07139873-n	이/가	나타나다
00425071-v	04942869-n	이/가	나타나다
00425071-v	14061805-n	이/가	나타나다
00425071-v	00943837-v	이/가	나타나다
00425071-v	00031921-n	이/가	나타나다
00425071-v	09765278-n	이/가	나타나다
00425071-v	00772967-v	이/가	나타나다
00425071-v	02297742-v	이/가	나타나다
00425071-v	01348530-n	이/가	나타나다
00425071-v	05945642-n	이/가	나타나다
00425071-v	00030358-n	이/가	나타나다
00425071-v	10235549-n	이/가	나타나다
00597915-v	00007846-n	이/가	08435388-n	을/를	배우다
00597915-v	00007846-n	이/가	12907857-n	을/를	배우다
00597915-v	00007846-n	이/가	12907465-n	을/를	배우다
00597915-v	00007846-n	이/가	04942869-n	을/를	배우다
00597915-v	00007846-n	이/가	04442831-n	을/를	배우다
00597915-v	00007846-n	이/가	05660268-n	을/를	배우다
00597915-v	00007846-n	이/가	02471690-v	을/를	배우다
00597915-v	00007846-n	이/가	배우다
